"ABSTIMMUNGSTAG","VORLAGE_KURZBEZ","STAT_VORLAGE_ID","ABSTIMMUNGSART_BEZ","ANNEHMENDE_GEBIETE","ABLEHNENDE_GEBIETE","JA_ANTEIL_PROZENT","Policy_Feld"
2010-09-26,"Volksinitiative ""Schienen für Zürich""",319,"kantonal",0,174,30.13,"Umwelt+Verkehr"
2010-09-26,"Verfassungsänderung: Neue Prozessgesetze",318,"kantonal",174,0,91.63,"Law+Order"
2010-11-28,"Ausschaffungsinitiative",320,"eidgenössisch",139,35,50.77,"Migrarion"
2010-11-28,"Stichfrage: Initiative (% Volksinitiative)",322,"eidgenössisch",108,66,47.68,"Andere"
2010-11-28,"Gegenentwurf zur Ausschaffungsinitiative",321,"eidgenössisch",22,152,46.92,"Migrarion"
2010-11-28,"Steuergerechtigkeits-Initiative",323,"eidgenössisch",11,163,41.07,"Soziales"
2011-02-13,"Volksinitiative ""Schutz vor Waffengewalt""",324,"eidgenössisch",31,143,50.37,"Law+Order"
2011-02-13,"Erweiterungsbau Landesmuseum Zürich",326,"kantonal",173,1,62.28,"Andere"
2011-02-13,"Verkehrssicherheitsinitiative",325,"kantonal",0,174,26.71,"Umwelt+Verkehr"
2011-05-15,"Volksinitiative ""JA zur Mundart im Kindergarten""",337,"kantonal",152,22,53.9,"Bildung"
2011-05-15,"Volksinitiative Nein zum Sterbetourismus",338,"kantonal",0,174,21.59,"Kirche+Staat"
2011-05-15,"Volksinitiative ""Stopp der Suizidhilfe!""",339,"kantonal",0,174,15.52,"Kirche+Staat"
2011-05-15,"Volksinitiative Tragbare Krankenkassenprämien",340,"kantonal",4,170,38.51,"Gesundheit"
2011-05-15,"Beschluss des Kantonsrates: Steuergesetz",327,"kantonal",99,75,49.23,"Finanzen"
2011-05-15,"Gegenvorschlag: Eine nachhaltige Steuerstrategie",328,"kantonal",0,174,19.39,"Finanzen"
2011-05-15,"Gegenvorschlag: Tiefere Steuern für Familien",329,"kantonal",1,173,37.38,"Finanzen"
2011-05-15,"Stichfrage 1: Vorlage A oder B? (% für A)",330,"kantonal",137,37,52.79,"Finanzen"
2011-05-15,"Stichfrage 2: Vorlage A oder C? (% für A)",331,"kantonal",142,32,52.68,"Finanzen"
2011-05-15,"Stichfrage 3: Vorlage B oder C? (% für B)",332,"kantonal",24,150,42.39,"Finanzen"
2011-05-15,"Finanzausgleichsgesetz",333,"kantonal",166,8,73.79,"Finanzen"
2011-05-15,"Gegenentwurf: Gerechtes Finanzausgleichgesetz",334,"kantonal",1,173,28.79,"Finanzen"
2011-05-15,"Stichfrage: F-Ausgleichsgesetz (% KR-Beschluss A)",335,"kantonal",154,20,71.46,"Finanzen"
2011-05-15,"Krankenversicherungsgesetz",336,"kantonal",162,12,55.41,"Gesundheit"
2011-09-04,"Sozialhilfegesetz",341,"kantonal",116,58,61.39,"Soziales"
2011-09-04,"Gegenvorschlag von Stimmberechtigten",342,"kantonal",43,131,38.34,"Soziales"
2011-09-04,"Stichfrage",343,"kantonal",118,56,61.35,"Soziales"
2011-09-04,"Hauswirtschaftliche Fortbildung",344,"kantonal",100,74,50.21,"Bildung"
2011-09-04,"Gesetz für ein Polizei- und Justizzentrum",345,"kantonal",38,136,45.82,"Law+Order"
2011-09-04,"""Für einen wettbewerbsfähigen Kanton Zürich""",346,"kantonal",3,171,30.9,"Wirtschaft"
2011-11-27,"Flughafengesetz: Keine Neu- und Ausbauten von Pisten",347,"kantonal",33,141,41.22,"Umwelt+Verkehr"
2011-11-27,"Gegenvorschlag",348,"kantonal",12,162,31.77,"Andere"
2011-11-27,"Stichfrage",349,"kantonal",171,3,73.19,"Andere"
2011-11-27,"Volksinitiative ""Stau weg!""",350,"kantonal",5,169,37.1,"Umwelt+Verkehr"
2011-11-27,"Volksinitiative ""Für faire Ferien""",351,"kantonal",4,170,38.34,"Soziales"
2012-03-11,"""Schluss mit uferlosem Bau von Zweitwohnungen!""",352,"eidgenössisch",79,95,52.49,"Umwelt+Verkehr"
2012-03-11,"Bauspar-Initiative",353,"eidgenössisch",5,169,38.27,"Andere"
2012-03-11,"""6 Wochen Ferien für alle""",354,"eidgenössisch",2,172,33.57,"Soziales"
2012-03-11,"Geldspiele zugunsten gemeinnütziger Zwecke",355,"eidgenössisch",174,0,87.85,"Soziales"
2012-03-11,"Buchpreisbindung (BuPG)",356,"eidgenössisch",3,171,37.52,"Finanzen"
2012-03-11,"Kantonales Bürgerrechtsgesetz",357,"kantonal",6,168,43.67,"Migrarion"
2012-03-11,"Gegenvorschlag Bürgerrechtsgesetz",358,"kantonal",49,125,40.36,"Migrarion"
2012-03-11,"Stichfrage Bürgerrechtsgesetz",359,"kantonal",111,63,58.81,"Migrarion"
2012-06-17,"Volksinitiave ""Bausparen""",360,"eidgenössisch",0,174,28.73,"Andere"
2012-06-17,"Spitalplanungsgesetz Hauptvorlage",364,"kantonal",173,1,66.71,"Gesundheit"
2012-06-17,"Kulturlandinitiative",372,"kantonal",90,84,54.53,"Umwelt+Verkehr"
2012-06-17,"Volksinitiative für freie Schulwahl",371,"kantonal",0,174,18.23,"Bildung"
2012-06-17,"Volksinitiative für freie Ladenöffnungszeiten",370,"kantonal",0,174,29.32,"Wirtschaft"
2012-06-17,"Verkehrsabgabengesetz",369,"kantonal",99,75,58.29,"Umwelt+Verkehr"
2012-06-17,"Stichfrage 2: Hauptvorlage oder Gegenvorschlag",368,"kantonal",158,16,56.04,"Gesundheit"
2012-06-17,"Stichfrage 1: Hauptvorlage oder Variante",367,"kantonal",162,12,57.4,"Gesundheit"
2012-06-17,"Gegenvorschlag von Stimmberechtigten",366,"kantonal",36,138,48.98,"Gesundheit"
2012-06-17,"Spitalplanungsgesetz Variante Stützungsfonds",365,"kantonal",31,143,47.92,"Gesundheit"
2012-06-17,"Steuergesetz",363,"kantonal",103,71,49.85,"Finanzen"
2012-06-17,"KVG: Managed Care",362,"eidgenössisch",0,174,28.06,"Gesundheit"
2012-06-17,"Volksinitiative ""Staatsverträge vors Volk!""",361,"eidgenössisch",0,174,26.11,"Demokratie"
2012-09-23,"""Sicheres Wohnen im Alter""",374,"eidgenössisch",137,37,47.94,"Soziales"
2012-09-23,"""Schutz vor Passivrauchen""",375,"eidgenössisch",0,174,32.92,"Gesundheit"
2012-09-23,"Abschaffung des konstruktiven Referendums",376,"kantonal",171,3,59.6,"Demokratie"
2012-09-23,"Autobahnzubringer A4 Obfelden/Ottenbach",377,"kantonal",171,3,62.55,"Umwelt+Verkehr"
2012-09-23,"Jugendmusikförderung",373,"eidgenössisch",174,0,74.3,"Bildung"
2012-11-25,"Volksinitiative ""Rechtsschutz für alle""",382,"kantonal",9,165,40.21,"Soziales"
2012-11-25,"Volksinitiative ""Transparente Mieten""",383,"kantonal",37,137,52.3,"Soziales"
2012-11-25,"Stichfrage: Hauptvorlage oder Gegenvorschlag",381,"kantonal",2,172,36.26,"Andere"
2012-11-25,"Gegenvorschlag des Kantonsrates",380,"kantonal",19,155,45.21,"Andere"
2012-11-25,"prima-Initiative",379,"kantonal",1,173,28.71,"Andere"
